id,tweet_id,customer_handle,customer_text,ground_truth_intent,ground_truth_decision,escalation_category,escalation_reason,difficulty,annotator_notes,human_total_quality,human_reference_reply
GOLD-061,17234,@119794,Going to take this in the consumer court...total fraud from amazon @AmazonHelp i will sue you guys for this ... https://t.co/R8hCqnIS4i,AGENT_ESCALATION_COMPLAINT,ESCALATE_TO_HUMAN,SEVERE_SENTIMENT_OR_LEGAL,"Severe customer hostility, accusations of fraud/deceptive practices, or legal/regulatory threats.",High Sarcasm / Frustration,Severe brand-risk escalations or explicit legal threats. Bot deflection strictly forbidden to avoid regulatory or PR fallout.,4,"@119794 We're unable to verify any detail over Twitter, Anjana. Please respond to our email so we could take it from there. ^JC"
GOLD-062,17239,@119796,@AmazonHelp Please find attached screenshot https://t.co/uivHzbY3JE,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,@119796 I'm sorry for the trouble. Please submit your details here: https://t.co/GIJyeYqKE0 and we'll check right away. ^RW
GOLD-063,17242,@119796,@AmazonHelp I have shared the details I need immediate solution for this I have to give order today,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,@119796 Thanks. We'll check and revert at the earliest. ^HK
GOLD-064,17244,@119796,@AmazonHelp Still I didn't received any update from your end. I have to book order today,ORDER_DELIVERY_ISSUE,ESCALATE_TO_HUMAN,FINANCIAL_OR_CARRIER_DISPUTE,Package scanned as delivered but reported missing/stolen from premises; requires carrier GPS audit.,Ambiguous / Multi-intent,"Carrier GPS delivery scan dispute or porch theft. While standard self-service advises 36-hr wait, missing parcel after delivery scan requires carrier claim investigation.",4,@119796 You must have received a response here: https://t.co/cx0UNsZXpj. Please let us know if you do not see the email here. ^KS
GOLD-065,17246,@119796,@AmazonHelp Afternoon only I have replied. I have screenshot also. Till now I didn't received any update. After doing regular follow-up also no action,ORDER_DELIVERY_ISSUE,ESCALATE_TO_HUMAN,FINANCIAL_OR_CARRIER_DISPUTE,Package scanned as delivered but reported missing/stolen from premises; requires carrier GPS audit.,Ambiguous / Multi-intent,"Carrier GPS delivery scan dispute or porch theft. While standard self-service advises 36-hr wait, missing parcel after delivery scan requires carrier claim investigation.",4,@119796 I'm sorry for the stretch. We're working on this and we'll reach out to you soon with an update. Appreciate your cooperation. ^KH
GOLD-066,17248,@119796,@AmazonHelp Till now also I don't received any update from your end,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,@119796 and proceed as per the suggestion. ^SG(2/2)
GOLD-067,17251,@119796,@AmazonHelp This is my account only. How you can say this is duplicate account.,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,3,"@119796 Twitter being a social platform, we wouldn't be able to check the account info here. Kindly reply to the email sent by us. ^PR"
GOLD-068,17240,@119796,@AmazonHelp I unable to add money to my Amazon wallet. I called customer service but no action since one month,ACCOUNT_SECURITY_BILLING,AUTO_HANDLE,NONE,Explanation of routine authorization hold or digital payment balance.,Standard,Standard explanation of temporary $1 authorization holds or gift card balance check.,5,@119796 I'm sorry for the trouble. Could you tell us more about the issue you're facing while adding amount to your pay balance? ^GK
GOLD-069,17256,@119798,@AmazonHelp wht explanation would you like 2 gv now as mor order got cancelled n products r returned back after waiting 4 mor thn two weeks?,RETURN_REFUND_REPLACEMENT,AUTO_HANDLE,NONE,"Standard return authorization, label-free QR drop-off, or replacement request.",Standard,Standard customer return or size exchange within the 30-day window. Self-service Returns Center portal is optimal.,5,@119798 I'm sorry about that. Could you confirm sharing your details in the link shared earlier? ^GK
GOLD-070,17258,@119798,@AmazonHelp whts benefit? chatted wth 1 of ur executive. aprt fr4 Sorry n Apology he has nothing 2 offer. if u cn do something better thn reply or leave,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,2,"@119798 I get you're upset. However, we'd like to get this sorted out, please share the details and we'll reach out to you. ^MS"
GOLD-071,17260,@119798,"@AmazonHelp apologies only dnt work. why last tim i was gvn assurance tht i wont repeat and now it happened again, whts your excuse now?",ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,4,@119798 I’m sorry for the hassle. Please drop in your details here: https://t.co/GIJyeYqKE0 We will look into it. ^SB
GOLD-072,17265,@119799,@AmazonHelp I have a samsung and roku tvs. On both models I have trouble watching. The roku the most. The samsung is better but I've experienced buffer,DIGITAL_SERVICES_PRIME,AUTO_HANDLE,NONE,"Prime Video, Kindle, or Echo device playback troubleshooting via self-service guide.",Standard,Standard streaming buffer or digital device setup. Can be safely handled with self-service troubleshooting steps.,5,@119799 I'm sorry to hear this. Please try these tips and let us know if it improves: https://t.co/PnaAaBPiBh ^BH
GOLD-073,17637,@119902,@AmazonHelp The pick up has been arranged 5 times now and cancelled at the last moment without citing any reason!,AGENT_ESCALATION_COMPLAINT,ESCALATE_TO_HUMAN,REPEAT_UNRESOLVED_CONTACT,Multiple failed contacts or persistent deadlock with front-line support.,High Sarcasm / Frustration,Customer has contacted support repeatedly without resolution. Requires Tier-2 supervisor intervention to break contact loop.,3,@119902 I'd like to take a closer look into it. Please fill in this form: https://t.co/GIJyeYqKE0 and I'll revert shortly. ^AB
GOLD-074,17639,@119902,@AmazonHelp It is a doorstep pick up but I need to bear the charges for the courier while I am struggling to get a refund for the already paid order,RETURN_REFUND_REPLACEMENT,ESCALATE_TO_HUMAN,REPEAT_UNRESOLVED_CONTACT,Refund processing delay exceeding standard 5 business day banking/warehouse window.,High Sarcasm / Frustration,Customer reports return received by fulfillment center >10 days ago but refund not credited. Financial trace required.,4,@119902 Was a pick up arranged on your order or were you asked to self-return it? Please tell us more. ^HK
GOLD-075,17641,@119902,@AmazonHelp #pathetic customer service. New low in e-commerce. Trying to raise a return request 5 times. #Fail,AGENT_ESCALATION_COMPLAINT,ESCALATE_TO_HUMAN,REPEAT_UNRESOLVED_CONTACT,Multiple failed contacts or persistent deadlock with front-line support.,High Sarcasm / Frustration,Customer has contacted support repeatedly without resolution. Requires Tier-2 supervisor intervention to break contact loop.,3,@119902 Sorry for the trouble while raising a return request. May I know if you have been asked to self return the item? ^SH
GOLD-076,17644,@119903,@AmazonHelp Did you guys do anything?,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,"@119903 (2/2) For account security reasons, we recommend that you delete any account sensitive information from Twitter. Thank you. ^SE"
GOLD-077,17648,@119903,"@AmazonHelp @7108 Found error on website, one click on $4.85 makes it $285 on card select screen https://t.co/zrzUwV6Cl1",ACCOUNT_SECURITY_BILLING,AUTO_HANDLE,NONE,Explanation of routine authorization hold or digital payment balance.,Standard,Standard explanation of temporary $1 authorization holds or gift card balance check.,5,"@119903 to the payment page that you have in your 2nd screenshot? We want to help in the best way possible, so pls let us know! ^KN 2/2"
GOLD-078,17652,@119904,@AmazonHelp Collect product at my home address will pay him courier charges. Hope u help your valuable customers.?,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,4,@119904 You can check the latest updates on your order and track delivery directly in Your Orders: amzn.to/track-package. Let us know if you need anything else! ^SM
GOLD-079,17653,@119904,@AmazonHelp Now I have suffer in self returning product and also not sure that courier charges will be given by Amazon or not. Please arrange person to,RETURN_REFUND_REPLACEMENT,AUTO_HANDLE,NONE,"Standard return authorization, label-free QR drop-off, or replacement request.",Standard,Standard customer return or size exchange within the 30-day window. Self-service Returns Center portal is optimal.,5,@119904 You can check the latest updates on your order and track delivery directly in Your Orders: amzn.to/track-package. Let us know if you need anything else! ^SM
GOLD-080,17654,@119904,@AmazonHelp Why should I suffer if product is not up to the mark. We know Amazon only not to other things. I bought because of Amazon name only.,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,@119904 You can check the latest updates on your order and track delivery directly in Your Orders: amzn.to/track-package. Let us know if you need anything else! ^SM
GOLD-081,17655,@119904,@AmazonHelp I need a solution why u r not helping consumers on self return things. M not bought product to self return. Why Amazon allows such seller,RETURN_REFUND_REPLACEMENT,AUTO_HANDLE,NONE,"Standard return authorization, label-free QR drop-off, or replacement request.",Standard,Standard customer return or size exchange within the 30-day window. Self-service Returns Center portal is optimal.,5,@119904 to our team internally to work on it. 2/2 ^SB
GOLD-082,17659,@119904,@AmazonHelp Also concern how I get my shipping charges back once self return product?,RETURN_REFUND_REPLACEMENT,AUTO_HANDLE,NONE,"Standard return authorization, label-free QR drop-off, or replacement request.",Standard,Standard customer return or size exchange within the 30-day window. Self-service Returns Center portal is optimal.,5,@119904 Please connect with us using this link here: https://t.co/00q4Sqj9zL for further assistance. ^KA
GOLD-083,17661,@119904,@AmazonHelp Thanks a lot for helping your consumers we always grateful to u. There is no online shopping app where problems not occur but to help,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,@119904 You're welcome. Appreciate your understanding. Do keep us posted for any further assistance and we'll be glad to hep you. ^MK
GOLD-084,17656,@119904,@AmazonHelp @115850 I have bought a product and now it's size is not matching I want to return it and also requested return process.,RETURN_REFUND_REPLACEMENT,AUTO_HANDLE,NONE,"Standard return authorization, label-free QR drop-off, or replacement request.",Standard,Standard customer return or size exchange within the 30-day window. Self-service Returns Center portal is optimal.,5,@119904 You may refer here: https://t.co/M27c4qF86m for details on refund for return shipping charges. Hope this helps! 3/3 ^AB
GOLD-085,17671,@119906,@AmazonHelp Tried that. No joy. Original echo works. New echo plus works but adding both to music group seems impossible. Select one other is unavail,DIGITAL_SERVICES_PRIME,AUTO_HANDLE,NONE,"Prime Video, Kindle, or Echo device playback troubleshooting via self-service guide.",Standard,Standard streaming buffer or digital device setup. Can be safely handled with self-service troubleshooting steps.,5,@119906 You can check the latest updates on your order and track delivery directly in Your Orders: amzn.to/track-package. Let us know if you need anything else! ^SM
GOLD-086,17674,@119907,"@AmazonHelp #unprofessional order id # 
403-7503264-7181114,403-8300003-6354735,403-5491238-8117144",ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,@119907 Please share your details here: https://t.co/GIJyeYqKE0 and I'll reach out to you. (2/2) ^KA
GOLD-087,17675,@119907,@AmazonHelp #Discrimination if you can't deliver at rural locations please don't take an order but do not discriminate customers!,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,@119907 You can check the latest updates on your order and track delivery directly in Your Orders: amzn.to/track-package. Let us know if you need anything else! ^SM
GOLD-088,17676,@119907,"@AmazonHelp Being #harrassed by the delivery guys for days, reached out to customer service multiple times but hardly any resolution !",ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,"@119907 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^KA"
GOLD-089,17682,@119907,"@AmazonHelp Oh you are so considerate, then why can't you treat the orders you take with same consideration, #Awful customer service",ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,3,@119907 We'd like to help with that. Kindly drop in your details using the link provided above and we'll reach out to you. ^AB
GOLD-090,17677,@119907,"@AmazonHelp LMK if you need more elaboration, i am free all day, i love ordering on #Amazon and then spend weeks trying to get delivery issues resolved🤣",ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,@119907 You can check the latest updates on your order and track delivery directly in Your Orders: amzn.to/track-package. Let us know if you need anything else! ^SM
GOLD-091,17678,@119907,@AmazonHelp  where does a customer goes to share his/her concerns about the fullfillment centre,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,@119907 Could you please elaborate your concern about the fulfillment center so that I can assist you accordingly?^SF
GOLD-092,17686,@119908,@AmazonHelp hey I started a Amazon prime trial..i was charged $1..wats that about ?,ACCOUNT_SECURITY_BILLING,AUTO_HANDLE,NONE,Explanation of routine authorization hold or digital payment balance.,Standard,Standard explanation of temporary $1 authorization holds or gift card balance check.,5,"@119908 When you sign up for a Prime free trial, we send an authorization to your bank. Here's more info: https://t.co/9Kj5TvSFFo ^JP"
GOLD-093,17889,@119969,@AmazonHelp Yes. Once from the original date,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,2,@119969 What is the current delivery date? Has this passed? ^CL
GOLD-094,17892,@119969,"@AmazonHelp It was expected 10/30-10/31 so yes, it has passed.",ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,@119969 Please contact us: https://t.co/hApLpMlfHN so an agent can look into this for you. ^JJ
GOLD-095,17890,@119969,@AmazonHelp It was updated to 10/30 later but that was also wrong,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,"@119969 Has the delivery date been updated on your tracking status? You can find that here:  https://t.co/Y5jpI9gRhE 
^BT"
GOLD-096,17899,@119628,@AmazonHelp I have called already and spoken to the rep. This keeps repeating. Fire your courier managers in my locality,AGENT_ESCALATION_COMPLAINT,ESCALATE_TO_HUMAN,REPEAT_UNRESOLVED_CONTACT,Multiple failed contacts or persistent deadlock with front-line support.,High Sarcasm / Frustration,Customer has contacted support repeatedly without resolution. Requires Tier-2 supervisor intervention to break contact loop.,3,@119628 Please fill in your details using the link: https://t.co/JzRdscmdH9 and I'll get in touch with you soon. ^AK (2/2)
GOLD-097,17903,@119628,"@AmazonHelp Got it just now about 4 hours after it was supposedly delivered. As I said, unpredictable and non-trustworthy delivery process",GENERAL_INQUIRY_FEEDBACK,AUTO_HANDLE,NONE,"General positive feedback, praise, or inquiry on operating hours.",Standard,Customer expressing appreciation or asking high-level operational question. Standard cordial acknowledgement.,5,@119628 Thanks for keeping us posted. I'll be sure to share your comments on this as feedback with the team internally. ^AB
GOLD-098,17908,@119970,"Two DOA orders. First hard drive came bouncing in a giant box, second one crushed in a padded envelope... sigh. Refund on way. @AmazonHelp https://t.co/4bRVrNlrBy",PRODUCT_DEFECT_DAMAGE,AUTO_HANDLE,NONE,Physical merchandise defect upon delivery. Direct customer to Online Returns Center for replacement.,Standard,Merchandise arrived damaged or defective. Standard self-service replacement authorization portal handles immediately.,5,@119970 Please help us to improve by providing your packaging feedback here: https://t.co/9eu9vrS5HB ^SY
GOLD-099,17912,@119972,@AmazonHelp @119973 Es nervt das ich mich seit neusten  beinahe täglich auf. Fire tv stick neu einloggen muss 😈,DIGITAL_SERVICES_PRIME,AUTO_HANDLE,NONE,"Prime Video, Kindle, or Echo device playback troubleshooting via self-service guide.",Standard,Standard streaming buffer or digital device setup. Can be safely handled with self-service troubleshooting steps.,5,"@119972 Oje! Melde dich doch gleich mal hier https://t.co/wWn0qM25US und lass meine Kollegen prüfen, was da los sein könnte. Gruß ^DS"
GOLD-100,17915,@119974,@AmazonHelp I have emailed you.. can you please reply to that as your system is too slow. Or give me a call.!,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,3,@119974 You can check the latest updates on your order and track delivery directly in Your Orders: amzn.to/track-package. Let us know if you need anything else! ^SM
GOLD-101,17918,@119974,@AmazonHelp Please elaborate. If the charges are of prime subscription on https://t.co/PDFhxlk2Fc then why was i charged 499 in the first place??,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,@119974 We'd like to have a look into the same; hence the request. Kindly reach out to our support team for further assistance. ^AB
GOLD-102,17921,@119904,@AmazonHelp Know Amazon and buy products that Amazon will help his consumers in any conditions,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,@119904 You can check the latest updates on your order and track delivery directly in Your Orders: amzn.to/track-package. Let us know if you need anything else! ^SM
GOLD-103,17922,@119904,@AmazonHelp Where consumers are suffering. Not allow such sellers to sell their products on Amazon then. Amazon name damages. Because we as consumers,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,@119904 You can check the latest updates on your order and track delivery directly in Your Orders: amzn.to/track-package. Let us know if you need anything else! ^SM
GOLD-104,17923,@119904,@AmazonHelp Means your valuable customer have to suffer with this issue?  Then what about shipping charges? Why your customer pay from his pocket?,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,@119904 You can check the latest updates on your order and track delivery directly in Your Orders: amzn.to/track-package. Let us know if you need anything else! ^SM
GOLD-105,17924,@119904,@AmazonHelp If product was not to the mark. And customer had to face tension of self return too with shipping charges. Is this online shopping?,RETURN_REFUND_REPLACEMENT,AUTO_HANDLE,NONE,"Standard return authorization, label-free QR drop-off, or replacement request.",Standard,Standard customer return or size exchange within the 30-day window. Self-service Returns Center portal is optimal.,5,@119904 You can check the latest updates on your order and track delivery directly in Your Orders: amzn.to/track-package. Let us know if you need anything else! ^SM
GOLD-106,17925,@119904,@AmazonHelp @115850 at my address. Will pay then return charges. But also want to tell u this is not right that we pay self return courier cost then what's,RETURN_REFUND_REPLACEMENT,AUTO_HANDLE,NONE,"Standard return authorization, label-free QR drop-off, or replacement request.",Standard,Standard customer return or size exchange within the 30-day window. Self-service Returns Center portal is optimal.,5,"@119904 I understand your concern, unfortunately we cannot arrange a return as already mentioned. Kindly self-return the order. ^ZH"
GOLD-107,17667,@119904,@AmazonHelp @115850 What should I do now then. Self return is not possible as I am working professional do not have time will u arrange some one to pick it,RETURN_REFUND_REPLACEMENT,AUTO_HANDLE,NONE,"Standard return authorization, label-free QR drop-off, or replacement request.",Standard,Standard customer return or size exchange within the 30-day window. Self-service Returns Center portal is optimal.,5,@119904 You can check the latest updates on your order and track delivery directly in Your Orders: amzn.to/track-package. Let us know if you need anything else! ^SM
GOLD-108,18119,@120030,@AmazonHelp I have filled the form but I don't expect anything concrete to happen besides paying lip-service. No one comes back to say why this happens,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,"@120030 Thank you for confirming, we are looking into it and will get back to you soon with an update. ^SI"
GOLD-109,18122,@120030,"@AmazonHelp With @115850 Wonders will never cease! Now, with respect to my 'DELIVERED' item, i have received the following sms: ...1/n",ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,"@120030 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public.2/2^SY"
GOLD-110,18128,@120030,"@AmazonHelp 24 to 48 hours 2resolve.But WTH! First,Amazon says 'Delivered' then,says 'Item could not be delivered,as there was no one 2accept delivery'",GENERAL_INQUIRY_FEEDBACK,AUTO_HANDLE,NONE,"General positive feedback, praise, or inquiry on operating hours.",Standard,Customer expressing appreciation or asking high-level operational question. Standard cordial acknowledgement.,5,@120030 received your revert and we'll reach out to you soon. (2/2) ^GK
GOLD-111,18123,@120030,"@AmazonHelp This has become a joke, now. Only, I don't feel like laughing.",ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,3,@120030 You can check the latest updates on your order and track delivery directly in Your Orders: amzn.to/track-package. Let us know if you need anything else! ^SM
GOLD-112,18124,@120030,@AmazonHelp could not be delivered as no one was available to receive it.... 3/n,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,@120030 You can check the latest updates on your order and track delivery directly in Your Orders: amzn.to/track-package. Let us know if you need anything else! ^SM
GOLD-113,18125,@120030,@AmazonHelp The package will be returned to us within 5 business days after two unsuccessful delivery attempts. ...4/4 WTF! NO DELIVERY ATTEMPT MADE,RETURN_REFUND_REPLACEMENT,AUTO_HANDLE,NONE,"Standard return authorization, label-free QR drop-off, or replacement request.",Standard,Standard customer return or size exchange within the 30-day window. Self-service Returns Center portal is optimal.,5,@120030 You can check the latest updates on your order and track delivery directly in Your Orders: amzn.to/track-package. Let us know if you need anything else! ^SM
GOLD-114,18120,@120030,I'm facing more bullshitting by @115850 Another package of mine is shown 'delivered' yesterday @AmazonHelp Somethings wrong at amazon...,AGENT_ESCALATION_COMPLAINT,ESCALATE_TO_HUMAN,REPEAT_UNRESOLVED_CONTACT,Multiple failed contacts or persistent deadlock with front-line support.,High Sarcasm / Frustration,Customer has contacted support repeatedly without resolution. Requires Tier-2 supervisor intervention to break contact loop.,3,@120030 Apologies for the mix-up.I’d like to help you; please fill this form: https://t.co/beaaDm0muc and I’ll contact you soon.^SC
GOLD-115,18134,@120031,"@AmazonHelp HEY, I have 30 packages that need to be refunded on nov 5th which is the estimated shipping time. fake tracking. never shipped.",RETURN_REFUND_REPLACEMENT,AUTO_HANDLE,NONE,"Standard return authorization, label-free QR drop-off, or replacement request.",Standard,Standard customer return or size exchange within the 30-day window. Self-service Returns Center portal is optimal.,5,@120031 Are the packages sold/fulfilled by Amazon or a third-party seller? That info can be found here: https://t.co/Y5jpI9gRhE ^SH
GOLD-116,18136,@120032,@AmazonHelp What is the response. I am yet to get a call from customer care,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,2,@120032 Please respond to our email or request a call back through the same mail so we could reach out to you. ^JC
GOLD-117,18139,@120032,"@AmazonHelp Have already shared my registered mobile no. 9673101122, but I m currently contactable on 9818601122",ACCOUNT_SECURITY_BILLING,ESCALATE_TO_HUMAN,PII_OR_ACCOUNT_SECURITY,Customer posted 10-digit telephone number publicly on Twitter. Mandatory escalation and privacy deletion warning.,Noisy / Slang / Typo,Explicit PII disclosure: Customer published personal contact number (9673101122) in public feed. Strict Amazon security protocol requires immediate routing to secure DM and customer warning to delete public tweet.,4,"@120032 Please don't provide your order details, we consider it to be personal info. Our page is visible to the public.  2/2^VH"
GOLD-118,18140,@120032,@AmazonHelp My email address is __email__,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,@120032 You can check the latest updates on your order and track delivery directly in Your Orders: amzn.to/track-package. Let us know if you need anything else! ^SM
GOLD-119,18143,@120032,@AmazonHelp If nothing happens then I will put on FB also,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,@120032 here: https://t.co/beaaDm0muc and we'll reach out to you. (2/2) ^GK
GOLD-120,18146,@120032,@AmazonHelp Have shared the details in the above linked which was shared by u. Need early resolution from u.,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,4,"@120032 Thanks for sharing, Kamlesh. We'll check and get back to you at the earliest.^AR"
GOLD-121,18149,@120034,"@AmazonHelp Called USPS for delivery info. Estimated hold time for the next representative is FIFTY MINUTES. As YOUR customer, I shouldn't be doing this",ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,@120034 We're able to contact the carrier on your behalf using the link ^LH provided above. ^KP
GOLD-122,18152,@120034,"@AmazonHelp Yes, I've sent an email through your link.",ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,3,"@120034 When did you contact us? If you've received a reply, what insight were we able to provide? ^AR"
GOLD-123,18150,@120034,@AmazonHelp I gave it another day and still not delivered. 😡,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,"@120034 I'm so sorry for the trouble. If you have a moment, please contact us by phone or chat here: https://t.co/hApLpMlfHN. ^LH"
GOLD-124,18155,@120034,"@AmazonHelp No, is USPS even contactable, esp after hours?  I'll wait and see what happens tomorrow. Two delivery mishaps this month - one UPS, one USPS",GENERAL_INQUIRY_FEEDBACK,AUTO_HANDLE,NONE,"General positive feedback, praise, or inquiry on operating hours.",Standard,Customer expressing appreciation or asking high-level operational question. Standard cordial acknowledgement.,5,"@120034 Unfortunately not. However, you can check the carrier website for more detailed tracking information. Please keep us posted. ^SY"
